it, ret_suc, ret_cum_suc, exp_suc, opt_len, dist_from_opt, len_mean, frames, rew_mean, score, ep, cells, arch_suc, policy_loss, value_loss, l2_loss, policy_entropy, approxkl, clipfrac, sil_pg_loss, sil_vf_loss, sil_loss, sil_entropy, sil_valid_min, sil_valid_max, sil_valid_mean, neglop_sil_min, neglop_sil_max, neglop_sil_mean, mean_val_pred, mean_sil_r, sil_frames, no_score_cells, cells_found_ret, cells_found_rand, cells_found_policy
6520, 0.0, 14.106257123740507, 0.01518288474810214, 23, 5, 500.0, 7515116, 0.0, 10.0, 23952, 38, 0.2017543859649123, -0.37419567, 0.00028186635, 1573.7029, 0.0006777054, 5.975116e-11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.5506763, 63.89275, 20.040436, 0.6247637, 0.0, 1074, 38, 9, 5, 23
6521, 0.0, 14.106235231645325, 0.015120274914089347, 23, 5, 500.0, 7516268, 0.0, 10.0, 23953, 38, 0.2017543859649123, -0.3728033, 0.00015276266, 1573.6002, 0.0010015661, 1.189718e-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.037039, 63.884506, 18.01687, 0.82792115, 0.0, 830, 38, 9, 5, 23
6522, 0.0, 14.106191452979314, 0.015299026425591099, 23, 5, 500.0, 7517420, 0.0, 10.0, 23955, 38, 0.2017543859649123, -0.3725248, 0.0012355812, 1573.4951, 0.03513051, 2.8282616e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.2625425, 33.365334, 10.855128, 0.49210396, 0.0, 586, 38, 9, 5, 23
6523, 0.0, 14.106147681677559, 0.015309672929714684, 23, 5, 500.0, 7518572, 0.0, 10.0, 23957, 38, 0.2017543859649123, -0.3753767, 0.0008612165, 1573.3906, 0.035408, 2.1554959e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.2000506, 33.429306, 14.510011, 0.41220832, 0.0, 842, 38, 9, 5, 23
6524, 0.0, 14.106038285629607, 0.015120274914089347, 23, 5, 500.0, 7519724, 0.0, 10.0, 23962, 38, 0.2017543859649123, -0.37076092, 0.00015896113, 1573.2861, 0.00020169657, 8.067122e-11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.2100997, 63.906334, 19.802452, 0.6794524, 0.0, 1098, 38, 9, 5, 23
6525, 0.0, 14.106038285629607, 0.015120274914089347, 23, 5, 500.0, 7520876, 0.0, 10.0, 23962, 38, 0.2017543859649123, -0.37329504, 0.00017797416, 1573.1859, 0.00064320245, 4.0896245e-11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.590886, 63.94988, 18.705772, 0.7651314, 0.0, 354, 38, 9, 5, 23
6526, 0.0, 14.10597267007596, 0.015299026425591099, 23, 5, 500.0, 7522028, 0.0, 10.0, 23965, 38, 0.2017543859649123, -0.37579843, 0.0006886515, 1573.0784, 0.018056344, 1.7024872e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8017726, 33.254524, 12.748196, 0.43780088, 0.0, 610, 38, 9, 5, 23
6527, 0.0, 14.10595080190254, 0.015309672929714684, 23, 5, 500.0, 7523180, 0.0, 10.0, 23966, 38, 0.2017543859649123, -0.37497312, 0.00075068866, 1572.9797, 0.022029847, 6.6776975e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4584262, 33.443542, 16.602133, 0.29282793, 0.0, 866, 38, 9, 5, 23
6528, 0.0, 14.105841488608478, 0.01518288474810214, 23, 5, 500.0, 7524332, 0.0, 10.0, 23971, 38, 0.2017543859649123, -0.3719752, 5.9871207e-05, 1572.8776, 0.0005584715, 8.6535275e-12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.011048, 64.02565, 20.033264, 0.9955387, 0.0, 1122, 38, 9, 5, 23
6529, 0.0, 14.105841488608478, 0.01518288474810214, 23, 5, 500.0, 7525484, 0.0, 10.0, 23971, 38, 0.2017543859649123, -0.373211, 0.0001262678, 1572.763, 0.0011083373, 3.893064e-11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.9952855, 64.09389, 17.719543, 0.7690838, 0.0, 378, 38, 9, 5, 23
